service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
24N-H50N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H50N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H54N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H55N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H55N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H56N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H56N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H57N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H58N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H59N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-H59N000S-80-SV,0,0,0,0,1,0,0,20241028,20241220
24N-H60N000S-81-S,1,1,1,1,1,0,0,20241028,20241220
24N-H62N000S-80-S,1,1,1,1,1,0,0,20241028,20241220
24N-GLOBAUX-02-S,1,1,1,1,1,0,0,20241028,20250103
24N-H50N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H54N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H55N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H56N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H57N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H58N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H59N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H60N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-H62N000A-80-A,0,0,0,0,0,1,0,20241102,20241221
24N-GLOBAUX-01-A,0,0,0,0,0,1,0,20241102,20250104
24N-H50N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H54N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H55N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H56N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H57N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H58N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H59N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H60N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-H62N000I-80-I,0,0,0,0,0,0,1,20241103,20241222
24N-GLOBAUX-01-I,0,0,0,0,0,0,1,20241103,20250105
24N-H50NV10S-81-S,1,1,1,1,1,0,0,20241223,20241227
24N-H50NV10S-81-SV,0,0,0,0,1,0,0,20241223,20241227
24N-H54NV10S-80-S,1,1,1,1,1,0,0,20241223,20241227
24N-H55NV10S-83-S,1,1,1,1,1,0,0,20241223,20241227
24N-H55NV10S-83-SV,0,0,0,0,1,0,0,20241223,20241227
24N-H56NV10S-81-S,1,1,1,1,1,0,0,20241223,20241227
24N-H56NV10S-81-SV,0,0,0,0,1,0,0,20241223,20241227
24N-H57NV10S-81-S,1,1,1,1,1,0,0,20241223,20241227
24N-H58NV10S-80-S,1,1,1,1,1,0,0,20241223,20241227
24N-H59NV10S-83-S,1,1,1,1,1,0,0,20241223,20241227
24N-H59NV10S-83-SV,0,0,0,0,1,0,0,20241223,20241227
24N-H60NV10S-80-S,1,1,1,1,1,0,0,20241223,20241227
24N-H62NV10S-80-S,1,1,1,1,1,0,0,20241223,20241227
24N-H50N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H54N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H55N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H56N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H57N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H58N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H59N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H60N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H62N100F-80-F1,0,0,1,0,0,0,0,20241225,20241225
24N-GLOBAUX-02-F1,0,0,1,0,0,0,0,20241225,20241225
24N-H50N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H54N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H55N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H56N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H57N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H58N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H59N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H60N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H62N200F-80-F2,0,0,0,1,0,0,0,20241226,20241226
24N-GLOBAUX-01-F2,0,0,0,1,0,0,0,20241226,20241226
24N-H50NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H54NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H55NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H56NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H57NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H58NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H59NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H60NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H62NV10A-80-A,0,0,0,0,0,1,0,20241228,20241228
24N-H50NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H54NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H55NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H56NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H57NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H58NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H59NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H60NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H62NV10I-80-I,0,0,0,0,0,0,1,20241229,20241229
24N-H50NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H50NV20S-80-SV,0,0,0,0,1,0,0,20241230,20250103
24N-H54NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H55NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H55NV20S-80-SV,0,0,0,0,1,0,0,20241230,20250103
24N-H56NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H56NV20S-80-SV,0,0,0,0,1,0,0,20241230,20250103
24N-H57NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H58NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H59NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H59NV20S-80-SV,0,0,0,0,1,0,0,20241230,20250103
24N-H60NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-H62NV20S-80-S,1,1,1,1,1,0,0,20241230,20250103
24N-GLOBAUX-05-S,1,1,1,1,1,0,0,20241231,20241231
24N-H50N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H54N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H55N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H56N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H57N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H58N300F-81-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H59N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H60N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H62N300F-80-F3,0,0,1,0,0,0,0,20250101,20250101
24N-GLOBAUX-01-F3,0,0,1,0,0,0,0,20250101,20250101
24N-H50N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H54N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H55N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H56N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H57N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H58N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H59N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H60N400F-81-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H62N400F-80-F4,0,0,0,1,0,0,0,20250102,20250102
24N-GLOBAUX-01-F4,0,0,0,1,0,0,0,20250102,20250102
24N-H50NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H54NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H55NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H56NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H57NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H58NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H59NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H60NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H62NV20A-80-A,0,0,0,0,0,1,0,20250104,20250104
24N-H50NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H54NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H55NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H56NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H57N20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H58NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H59NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H60NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
24N-H62NV20I-80-I,0,0,0,0,0,0,1,20250105,20250105
25J-H50J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H50J000S-80-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H54J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H55J000S-81-S,1,1,1,1,1,0,0,20250106,20250321
25J-H55J000S-81-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H56J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H56J000S-80-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H57J000S-83-S,1,1,1,1,1,0,0,20250106,20250321
25J-H58J000S-81-S,1,1,1,1,1,0,0,20250106,20250321
25J-H59J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H59J000S-80-SV,0,0,0,0,1,0,0,20250106,20250321
25J-H60J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-H62J000S-80-S,1,1,1,1,1,0,0,20250106,20250321
25J-GLOBAUX-01-S,1,1,1,1,1,0,0,20250106,20250321
25J-H50J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H54J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H55J000A-83-A,0,0,0,0,0,1,0,20250111,20250322
25J-H56J000A-81-A,0,0,0,0,0,1,0,20250111,20250322
25J-H57J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H58J000A-81-A,0,0,0,0,0,1,0,20250111,20250322
25J-H59J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H60J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-H62J000A-80-A,0,0,0,0,0,1,0,20250111,20250322
25J-GLOBAUX-01-A,0,0,0,0,0,1,0,20250111,20250322
25J-H50J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H54J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H55J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
25J-H56J000I-81-I,0,0,0,0,0,0,1,20250112,20250323
25J-H57J000I-81-I,0,0,0,0,0,0,1,20250112,20250323
25J-H58J000I-80-I,0,0,0,0,0,0,1,20250112,20250323
