service_id,date,exception_type
25J-H50J000S-80-S,20250303,2
25J-H50J000S-80-S,20250304,2
25J-H50J000S-80-S,20250305,2
25J-H50J000S-80-S,20250306,2
25J-H50J000S-80-S,20250307,2
25J-H50J000S-80-SV,20250307,2
25J-H50J000A-80-A,20250308,2
25J-H50J000I-80-I,20250309,2
24N-H50NV10S-81-S,20241225,2
24N-H50NV10S-81-S,20241226,2
24N-H50NV20S-80-S,20250101,2
24N-H50NV20S-80-S,20250102,2
25J-H54J000S-80-S,20250303,2
25J-H54J000S-80-S,20250304,2
25J-H54J000S-80-S,20250305,2
25J-H54J000S-80-S,20250306,2
25J-H54J000S-80-S,20250307,2
25J-H54J000A-80-A,20250308,2
25J-H54J000I-80-I,20250309,2
24N-H54NV10S-80-S,20241225,2
24N-H54NV10S-80-S,20241226,2
24N-H54NV20S-80-S,20250101,2
24N-H54NV20S-80-S,20250102,2
25J-H55J000S-81-S,20250303,2
25J-H55J000S-81-S,20250304,2
25J-H55J000S-81-S,20250305,2
25J-H55J000S-81-S,20250306,2
25J-H55J000S-81-S,20250307,2
25J-H55J000S-81-SV,20250307,2
25J-H55J000A-83-A,20250308,2
25J-H55J000I-80-I,20250309,2
24N-H55NV10S-83-S,20241225,2
24N-H55NV10S-83-S,20241226,2
24N-H55NV20S-80-S,20250101,2
24N-H55NV20S-80-S,20250102,2
25J-H56J000S-80-S,20250303,2
25J-H56J000S-80-S,20250304,2
25J-H56J000S-80-S,20250305,2
25J-H56J000S-80-S,20250306,2
25J-H56J000S-80-S,20250307,2
25J-H56J000S-80-SV,20250307,2
25J-H56J000A-81-A,20250308,2
25J-H56J000I-81-I,20250309,2
24N-H56NV10S-81-S,20241225,2
24N-H56NV10S-81-S,20241226,2
24N-H56NV20S-80-S,20250101,2
24N-H56NV20S-80-S,20250102,2
25J-H57J000S-83-S,20250303,2
25J-H57J000S-83-S,20250304,2
25J-H57J000S-83-S,20250305,2
25J-H57J000S-83-S,20250306,2
25J-H57J000S-83-S,20250307,2
25J-H57J000A-80-A,20250308,2
25J-H57J000I-81-I,20250309,2
24N-H57NV10S-81-S,20241225,2
24N-H57NV10S-81-S,20241226,2
24N-H57NV20S-80-S,20250101,2
24N-H57NV20S-80-S,20250102,2
25J-H58J000S-81-S,20250303,2
25J-H58J000S-81-S,20250304,2
25J-H58J000S-81-S,20250305,2
25J-H58J000S-81-S,20250306,2
25J-H58J000S-81-S,20250307,2
25J-H58J000A-81-A,20250308,2
25J-H58J000I-80-I,20250309,2
24N-H58NV10S-80-S,20241225,2
24N-H58NV10S-80-S,20241226,2
24N-H58NV20S-80-S,20250101,2
24N-H58NV20S-80-S,20250102,2
25J-H59J000S-80-S,20250303,2
25J-H59J000S-80-S,20250304,2
25J-H59J000S-80-S,20250305,2
25J-H59J000S-80-S,20250306,2
25J-H59J000S-80-S,20250307,2
25J-H59J000S-80-SV,20250307,2
25J-H59J000A-80-A,20250308,2
25J-H59J000I-80-I,20250309,2
24N-H59NV10S-83-S,20241225,2
24N-H59NV10S-83-S,20241226,2
24N-H59NV20S-80-S,20250101,2
24N-H59NV20S-80-S,20250102,2
25J-H60J000S-80-S,20250303,2
25J-H60J000S-80-S,20250304,2
25J-H60J000S-80-S,20250305,2
25J-H60J000S-80-S,20250306,2
25J-H60J000S-80-S,20250307,2
25J-H60J000A-80-A,20250308,2
25J-H60J000I-80-I,20250309,2
24N-H60NV10S-80-S,20241225,2
24N-H60NV10S-80-S,20241226,2
24N-H60NV20S-80-S,20250101,2
24N-H60NV20S-80-S,20250102,2
25J-H62J000S-80-S,20250303,2
25J-H62J000S-80-S,20250304,2
25J-H62J000S-80-S,20250305,2
25J-H62J000S-80-S,20250306,2
25J-H62J000S-80-S,20250307,2
25J-H62J000A-80-A,20250308,2
25J-H62J000I-80-I,20250309,2
24N-H62NV10S-80-S,20241225,2
24N-H62NV10S-80-S,20241226,2
24N-H62NV20S-80-S,20250101,2
24N-H62NV20S-80-S,20250102,2
24N-GLOBAUX-02-S,20241225,2
24N-GLOBAUX-02-S,20241226,2
24N-GLOBAUX-02-S,20241231,2
24N-GLOBAUX-02-S,20250101,2
24N-GLOBAUX-02-S,20250102,2
