route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,STM,1,Ligne 1 - Verte,1,http://www.stm.info/fr/infos/reseaux/metro/verte,00B300,FFFFFF
2,STM,2,Ligne 2 - Orange,1,http://www.stm.info/fr/infos/reseaux/metro/orange,D95700,FFFFFF
4,STM,4,Ligne 4 - Jaune,1,http://www.stm.info/fr/infos/reseaux/metro/jaune,FFD900,000000
5,STM,5,Ligne 5 - Bleue,1,http://www.stm.info/fr/infos/reseaux/metro/bleue,0095E6,FFFFFF
10,STM,10,De Lorimier,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
11,STM,11,Parc-du-Mont-Royal / Ridgewood,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
12,STM,12,Île-des-Soeurs,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
13,STM,13,Christophe-Colomb,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
14,STM,14,Atateken,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
16,STM,16,Graham,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
17,STM,17,Décarie,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
18,STM,18,Beaubien,3,http://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF
19,STM,19,Chabanel / Marché Central,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
22,STM,22,Notre-Dame,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
24,STM,24,Sherbrooke,3,http://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF
25,STM,25,Angus,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
26,STM,26,Mercier-Est,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
27,STM,27,Boulevard Saint-Joseph,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
28,STM,28,Honoré-Beaugrand,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
29,STM,29,Rachel,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
30,STM,30,Saint-Denis / Saint-Hubert,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
31,STM,31,Saint-Denis,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
32,STM,32,Lacordaire,3,http://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF
33,STM,33,Langelier,3,http://www.stm.info/fr/infos/reseaux/bus,781B7D,FFFFFF
34,STM,34,Sainte-Catherine,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
35,STM,35,Griffintown,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
36,STM,36,Monk,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
37,STM,37,Jolicoeur,3,http://www.stm.info/fr/infos/reseaux/bus,009EE0,FFFFFF
